index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.040318965911865234,sea snake,0.8527843952178955,ConvNeXt Tiny Weights,cpu
2,0.5,0.033802032470703125,ski,0.5491681098937988,ConvNeXt Tiny Weights,cpu
3,0.6666666666666666,0.034175872802734375,Shetland sheepdog,0.7066652774810791,ConvNeXt Tiny Weights,cpu
4,0.75,0.03420257568359375,soup bowl,0.6851724982261658,ConvNeXt Tiny Weights,cpu
5,0.6,0.03431844711303711,crib,0.4863241910934448,ConvNeXt Tiny Weights,cpu
6,0.5,0.03418302536010742,diamondback,0.28045654296875,ConvNeXt Tiny Weights,cpu
7,0.5714285714285714,0.03470873832702637,porcupine,0.8269296288490295,ConvNeXt Tiny Weights,cpu
8,0.625,0.03409004211425781,bakery,0.6089872717857361,ConvNeXt Tiny Weights,cpu
9,0.6666666666666666,0.036360979080200195,mousetrap,0.7127035856246948,ConvNeXt Tiny Weights,cpu
10,0.7,0.03909707069396973,Angora,0.4956494867801666,ConvNeXt Tiny Weights,cpu
11,0.7272727272727273,0.03627371788024902,brain coral,0.72990882396698,ConvNeXt Tiny Weights,cpu
12,0.75,0.03688931465148926,cougar,0.8280876278877258,ConvNeXt Tiny Weights,cpu
13,0.7692307692307693,0.03637361526489258,guenon,0.8935937881469727,ConvNeXt Tiny Weights,cpu
14,0.7857142857142857,0.03615546226501465,recreational vehicle,0.883367121219635,ConvNeXt Tiny Weights,cpu
15,0.8,0.03717207908630371,harvester,0.5895190238952637,ConvNeXt Tiny Weights,cpu
16,0.8125,0.036205291748046875,grey whale,0.7312589883804321,ConvNeXt Tiny Weights,cpu
17,0.7647058823529411,0.03717756271362305,starfish,0.4100767970085144,ConvNeXt Tiny Weights,cpu
18,0.7777777777777778,0.03778719902038574,vulture,0.6043528914451599,ConvNeXt Tiny Weights,cpu
19,0.7894736842105263,0.03808188438415527,carton,0.9478087425231934,ConvNeXt Tiny Weights,cpu
20,0.8,0.03761887550354004,crane,0.8993337750434875,ConvNeXt Tiny Weights,cpu
21,0.8095238095238095,0.037352800369262695,porcupine,0.8449320793151855,ConvNeXt Tiny Weights,cpu
22,0.8181818181818182,0.03827524185180664,Ibizan hound,0.8163158893585205,ConvNeXt Tiny Weights,cpu
23,0.8260869565217391,0.03814268112182617,Granny Smith,0.7506647706031799,ConvNeXt Tiny Weights,cpu
24,0.8333333333333334,0.03728604316711426,planetarium,0.7455123662948608,ConvNeXt Tiny Weights,cpu
25,0.84,0.03819441795349121,vulture,0.5507523417472839,ConvNeXt Tiny Weights,cpu
26,0.8461538461538461,0.03790402412414551,table lamp,0.7712023854255676,ConvNeXt Tiny Weights,cpu
27,0.8518518518518519,0.038413286209106445,white wolf,0.8226208686828613,ConvNeXt Tiny Weights,cpu
28,0.8214285714285714,0.037314653396606445,Greater Swiss Mountain dog,0.2676422894001007,ConvNeXt Tiny Weights,cpu
29,0.7931034482758621,0.03725266456604004,night snake,0.4504031836986542,ConvNeXt Tiny Weights,cpu
30,0.7666666666666667,0.037680625915527344,pedestal,0.425911545753479,ConvNeXt Tiny Weights,cpu
31,0.7741935483870968,0.03719472885131836,cabbage butterfly,0.5974029302597046,ConvNeXt Tiny Weights,cpu
32,0.78125,0.03780341148376465,go-kart,0.8103275299072266,ConvNeXt Tiny Weights,cpu
33,0.7575757575757576,0.03723311424255371,otter,0.24315239489078522,ConvNeXt Tiny Weights,cpu
34,0.7647058823529411,0.03723573684692383,ballplayer,0.8272360563278198,ConvNeXt Tiny Weights,cpu
35,0.7714285714285715,0.038916587829589844,half track,0.8484442234039307,ConvNeXt Tiny Weights,cpu
36,0.7777777777777778,0.037227630615234375,vestment,0.7874082326889038,ConvNeXt Tiny Weights,cpu
37,0.7567567567567568,0.03787851333618164,common newt,0.7779998183250427,ConvNeXt Tiny Weights,cpu
38,0.7631578947368421,0.037291526794433594,abacus,0.7133262157440186,ConvNeXt Tiny Weights,cpu
39,0.7435897435897436,0.03778266906738281,wallet,0.4233472943305969,ConvNeXt Tiny Weights,cpu
40,0.75,0.037780046463012695,garden spider,0.8604626059532166,ConvNeXt Tiny Weights,cpu
41,0.7317073170731707,0.03709864616394043,bassinet,0.35942530632019043,ConvNeXt Tiny Weights,cpu
42,0.7380952380952381,0.03791046142578125,rain barrel,0.8663367629051208,ConvNeXt Tiny Weights,cpu
43,0.7441860465116279,0.03766202926635742,spoonbill,0.5413103699684143,ConvNeXt Tiny Weights,cpu
