index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.029084444046020508,sea snake,0.6821097731590271,MobileNet V3 Large Weights,cpu
2,0.5,0.01753687858581543,ski,0.5932093858718872,MobileNet V3 Large Weights,cpu
3,0.6666666666666666,0.01690959930419922,Shetland sheepdog,0.6452659964561462,MobileNet V3 Large Weights,cpu
4,0.75,0.01731395721435547,soup bowl,0.4071822762489319,MobileNet V3 Large Weights,cpu
5,0.6,0.017145395278930664,crib,0.37699851393699646,MobileNet V3 Large Weights,cpu
6,0.5,0.017969131469726562,sea snake,0.294698029756546,MobileNet V3 Large Weights,cpu
7,0.5714285714285714,0.017813444137573242,porcupine,0.7025061845779419,MobileNet V3 Large Weights,cpu
8,0.625,0.018007993698120117,bakery,0.2915637195110321,MobileNet V3 Large Weights,cpu
9,0.6666666666666666,0.017802000045776367,mousetrap,0.3871358335018158,MobileNet V3 Large Weights,cpu
10,0.6,0.017839670181274414,Maltese dog,0.5403384566307068,MobileNet V3 Large Weights,cpu
11,0.6363636363636364,0.017889976501464844,brain coral,0.6952595114707947,MobileNet V3 Large Weights,cpu
12,0.6666666666666666,0.017774343490600586,cougar,0.7235197424888611,MobileNet V3 Large Weights,cpu
13,0.6923076923076923,0.01756119728088379,guenon,0.7254974246025085,MobileNet V3 Large Weights,cpu
14,0.7142857142857143,0.01790904998779297,recreational vehicle,0.8516308069229126,MobileNet V3 Large Weights,cpu
15,0.7333333333333333,0.018679380416870117,harvester,0.6004191040992737,MobileNet V3 Large Weights,cpu
16,0.75,0.017793655395507812,grey whale,0.8573663830757141,MobileNet V3 Large Weights,cpu
17,0.7058823529411765,0.017787933349609375,goldfish,0.323396235704422,MobileNet V3 Large Weights,cpu
18,0.6666666666666666,0.018325328826904297,kite,0.37550851702690125,MobileNet V3 Large Weights,cpu
19,0.6842105263157895,0.01780557632446289,carton,0.5152251124382019,MobileNet V3 Large Weights,cpu
20,0.7,0.0182039737701416,crane,0.7833658456802368,MobileNet V3 Large Weights,cpu
21,0.7142857142857143,0.01788806915283203,porcupine,0.7754141092300415,MobileNet V3 Large Weights,cpu
22,0.6818181818181818,0.018300294876098633,Saluki,0.1574305295944214,MobileNet V3 Large Weights,cpu
23,0.6956521739130435,0.018903732299804688,Granny Smith,0.896973729133606,MobileNet V3 Large Weights,cpu
24,0.7083333333333334,0.017882108688354492,planetarium,0.7946602702140808,MobileNet V3 Large Weights,cpu
25,0.72,0.018154621124267578,vulture,0.8315746188163757,MobileNet V3 Large Weights,cpu
26,0.7307692307692307,0.017832517623901367,table lamp,0.6259576678276062,MobileNet V3 Large Weights,cpu
27,0.7407407407407407,0.01788616180419922,white wolf,0.8331543803215027,MobileNet V3 Large Weights,cpu
28,0.7142857142857143,0.018143415451049805,Walker hound,0.1533466875553131,MobileNet V3 Large Weights,cpu
29,0.7241379310344828,0.017908573150634766,green snake,0.30543723702430725,MobileNet V3 Large Weights,cpu
30,0.7333333333333333,0.01780247688293457,tile roof,0.12000883370637894,MobileNet V3 Large Weights,cpu
31,0.7419354838709677,0.017926454544067383,cabbage butterfly,0.8191834688186646,MobileNet V3 Large Weights,cpu
32,0.75,0.017984390258789062,go-kart,0.4533780813217163,MobileNet V3 Large Weights,cpu
33,0.7272727272727273,0.018022775650024414,otter,0.3356746435165405,MobileNet V3 Large Weights,cpu
34,0.7352941176470589,0.01808476448059082,ballplayer,0.6172775626182556,MobileNet V3 Large Weights,cpu
