index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.051427364349365234,sea snake,0.6835088133811951,MobileNet V3 Large Weights,cuda
2,0.5,0.013595342636108398,ski,0.5930185914039612,MobileNet V3 Large Weights,cuda
3,0.6666666666666666,0.011413335800170898,Shetland sheepdog,0.6446593403816223,MobileNet V3 Large Weights,cuda
4,0.75,0.011324167251586914,soup bowl,0.40778836607933044,MobileNet V3 Large Weights,cuda
5,0.6,0.010696887969970703,crib,0.3769870400428772,MobileNet V3 Large Weights,cuda
6,0.5,0.010498523712158203,sea snake,0.2947481572628021,MobileNet V3 Large Weights,cuda
7,0.5714285714285714,0.010958194732666016,porcupine,0.7021439671516418,MobileNet V3 Large Weights,cuda
8,0.625,0.010811567306518555,bakery,0.293163925409317,MobileNet V3 Large Weights,cuda
9,0.6666666666666666,0.011148452758789062,mousetrap,0.3883080780506134,MobileNet V3 Large Weights,cuda
10,0.6,0.011199474334716797,Maltese dog,0.5402013063430786,MobileNet V3 Large Weights,cuda
11,0.6363636363636364,0.010838985443115234,brain coral,0.6954536437988281,MobileNet V3 Large Weights,cuda
12,0.6666666666666666,0.010897159576416016,cougar,0.7233203053474426,MobileNet V3 Large Weights,cuda
13,0.6923076923076923,0.010959863662719727,guenon,0.7255256772041321,MobileNet V3 Large Weights,cuda
14,0.7142857142857143,0.011177778244018555,recreational vehicle,0.8509960770606995,MobileNet V3 Large Weights,cuda
15,0.7333333333333333,0.011620044708251953,harvester,0.6010739803314209,MobileNet V3 Large Weights,cuda
16,0.75,0.010691404342651367,grey whale,0.856571614742279,MobileNet V3 Large Weights,cuda
17,0.7058823529411765,0.010277271270751953,goldfish,0.32367241382598877,MobileNet V3 Large Weights,cuda
18,0.6666666666666666,0.010805368423461914,kite,0.376325398683548,MobileNet V3 Large Weights,cuda
19,0.6842105263157895,0.010745048522949219,carton,0.5155678987503052,MobileNet V3 Large Weights,cuda
20,0.7,0.01094818115234375,crane,0.7828966975212097,MobileNet V3 Large Weights,cuda
21,0.7142857142857143,0.010735750198364258,porcupine,0.7750717997550964,MobileNet V3 Large Weights,cuda
22,0.6818181818181818,0.010996341705322266,Saluki,0.1571555882692337,MobileNet V3 Large Weights,cuda
23,0.6956521739130435,0.011531591415405273,Granny Smith,0.8967426419258118,MobileNet V3 Large Weights,cuda
24,0.7083333333333334,0.011585712432861328,planetarium,0.7947002649307251,MobileNet V3 Large Weights,cuda
25,0.72,0.011021137237548828,vulture,0.830391526222229,MobileNet V3 Large Weights,cuda
26,0.7307692307692307,0.011150598526000977,table lamp,0.6247920393943787,MobileNet V3 Large Weights,cuda
27,0.7407407407407407,0.011182069778442383,white wolf,0.8330649137496948,MobileNet V3 Large Weights,cuda
28,0.7142857142857143,0.010807037353515625,Walker hound,0.1532224714756012,MobileNet V3 Large Weights,cuda
29,0.7241379310344828,0.010900735855102539,green snake,0.3050868809223175,MobileNet V3 Large Weights,cuda
30,0.7333333333333333,0.010455846786499023,tile roof,0.1199025809764862,MobileNet V3 Large Weights,cuda
31,0.7419354838709677,0.011034250259399414,cabbage butterfly,0.8189907073974609,MobileNet V3 Large Weights,cuda
32,0.75,0.010930299758911133,go-kart,0.4521709084510803,MobileNet V3 Large Weights,cuda
33,0.7272727272727273,0.010047197341918945,otter,0.33642882108688354,MobileNet V3 Large Weights,cuda
34,0.7352941176470589,0.010436296463012695,ballplayer,0.6166836023330688,MobileNet V3 Large Weights,cuda
35,0.7428571428571429,0.012478113174438477,half track,0.7721673846244812,MobileNet V3 Large Weights,cuda
36,0.75,0.011291265487670898,vestment,0.8398152589797974,MobileNet V3 Large Weights,cuda
37,0.7297297297297297,0.010754108428955078,common newt,0.7533890008926392,MobileNet V3 Large Weights,cuda
38,0.7368421052631579,0.010528564453125,abacus,0.7040053606033325,MobileNet V3 Large Weights,cuda
39,0.7435897435897436,0.01105809211730957,scabbard,0.3360178768634796,MobileNet V3 Large Weights,cuda
40,0.75,0.010715723037719727,garden spider,0.7231236696243286,MobileNet V3 Large Weights,cuda
41,0.7317073170731707,0.011018753051757812,bassinet,0.8543014526367188,MobileNet V3 Large Weights,cuda
42,0.7380952380952381,0.010562896728515625,rain barrel,0.727591872215271,MobileNet V3 Large Weights,cuda
43,0.7441860465116279,0.01031804084777832,spoonbill,0.8805891275405884,MobileNet V3 Large Weights,cuda
44,0.75,0.010394096374511719,standard schnauzer,0.618567943572998,MobileNet V3 Large Weights,cuda
45,0.7555555555555555,0.010637760162353516,Newfoundland,0.9150428771972656,MobileNet V3 Large Weights,cuda
46,0.7608695652173914,0.010950565338134766,pitcher,0.26015570759773254,MobileNet V3 Large Weights,cuda
47,0.7659574468085106,0.010411977767944336,freight car,0.8296651840209961,MobileNet V3 Large Weights,cuda
48,0.75,0.010672569274902344,beagle,0.29217764735221863,MobileNet V3 Large Weights,cuda
49,0.7551020408163265,0.01072072982788086,pickup,0.7085685133934021,MobileNet V3 Large Weights,cuda
50,0.74,0.011145830154418945,stole,0.08260810375213623,MobileNet V3 Large Weights,cuda
51,0.7450980392156863,0.011328697204589844,bee eater,0.38003504276275635,MobileNet V3 Large Weights,cuda
52,0.75,0.011433839797973633,axolotl,0.8854882121086121,MobileNet V3 Large Weights,cuda
53,0.7547169811320755,0.010840654373168945,switch,0.9687975645065308,MobileNet V3 Large Weights,cuda
54,0.7592592592592593,0.010671615600585938,handkerchief,0.9524080157279968,MobileNet V3 Large Weights,cuda
55,0.7454545454545455,0.011766672134399414,black-footed ferret,0.40459638833999634,MobileNet V3 Large Weights,cuda
56,0.75,0.01101994514465332,cab,0.5957958102226257,MobileNet V3 Large Weights,cuda
57,0.7368421052631579,0.01124429702758789,Pekinese,0.44636252522468567,MobileNet V3 Large Weights,cuda
58,0.7413793103448276,0.010969161987304688,stinkhorn,0.5867153406143188,MobileNet V3 Large Weights,cuda
59,0.7288135593220338,0.010467767715454102,swab,0.4995819330215454,MobileNet V3 Large Weights,cuda
