index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.05031323432922363,sea snake,0.966605544090271,RegNet Y 16GF,cuda
2,0.5,0.01118922233581543,ski,0.7365099191665649,RegNet Y 16GF,cuda
3,0.6666666666666666,0.007747650146484375,Shetland sheepdog,0.7191580533981323,RegNet Y 16GF,cuda
4,0.75,0.01642131805419922,soup bowl,0.3794575035572052,RegNet Y 16GF,cuda
5,0.6,0.01593017578125,crib,0.5603994131088257,RegNet Y 16GF,cuda
6,0.5,0.015764951705932617,night snake,0.3869521915912628,RegNet Y 16GF,cuda
7,0.5714285714285714,0.015729665756225586,porcupine,0.882836639881134,RegNet Y 16GF,cuda
8,0.5,0.016298294067382812,ice cream,0.3975341320037842,RegNet Y 16GF,cuda
9,0.5555555555555556,0.015979528427124023,mousetrap,0.764171302318573,RegNet Y 16GF,cuda
10,0.6,0.01592397689819336,Angora,0.6648150086402893,RegNet Y 16GF,cuda
11,0.6363636363636364,0.015900373458862305,brain coral,0.8554353713989258,RegNet Y 16GF,cuda
12,0.6666666666666666,0.015636920928955078,cougar,0.9177680015563965,RegNet Y 16GF,cuda
13,0.6923076923076923,0.015775203704833984,guenon,0.867638885974884,RegNet Y 16GF,cuda
14,0.7142857142857143,0.015900611877441406,recreational vehicle,0.7997517585754395,RegNet Y 16GF,cuda
15,0.7333333333333333,0.016058921813964844,harvester,0.49993520975112915,RegNet Y 16GF,cuda
16,0.75,0.015761375427246094,grey whale,0.8660567998886108,RegNet Y 16GF,cuda
17,0.7058823529411765,0.015263557434082031,starfish,0.4620610773563385,RegNet Y 16GF,cuda
18,0.7222222222222222,0.015784263610839844,vulture,0.8056842684745789,RegNet Y 16GF,cuda
19,0.7368421052631579,0.016260862350463867,carton,0.8039612174034119,RegNet Y 16GF,cuda
20,0.75,0.01580023765563965,crane,0.8324907422065735,RegNet Y 16GF,cuda
21,0.7619047619047619,0.015536308288574219,porcupine,0.8315752148628235,RegNet Y 16GF,cuda
22,0.7727272727272727,0.01598334312438965,Ibizan hound,0.201975479722023,RegNet Y 16GF,cuda
23,0.782608695652174,0.016918420791625977,Granny Smith,0.8852918148040771,RegNet Y 16GF,cuda
24,0.7916666666666666,0.016222000122070312,planetarium,0.872619092464447,RegNet Y 16GF,cuda
25,0.8,0.015962600708007812,vulture,0.77639240026474,RegNet Y 16GF,cuda
26,0.7692307692307693,0.015857458114624023,guillotine,0.7602609992027283,RegNet Y 16GF,cuda
27,0.7777777777777778,0.016234159469604492,white wolf,0.7799527049064636,RegNet Y 16GF,cuda
28,0.75,0.016137123107910156,Walker hound,0.23601028323173523,RegNet Y 16GF,cuda
29,0.7586206896551724,0.01597738265991211,green snake,0.7276200652122498,RegNet Y 16GF,cuda
30,0.7666666666666667,0.015581369400024414,tile roof,0.6115019917488098,RegNet Y 16GF,cuda
31,0.7741935483870968,0.015794754028320312,cabbage butterfly,0.8578372597694397,RegNet Y 16GF,cuda
32,0.78125,0.015231609344482422,go-kart,0.8500775694847107,RegNet Y 16GF,cuda
33,0.7575757575757576,0.015748023986816406,otter,0.40103277564048767,RegNet Y 16GF,cuda
34,0.7647058823529411,0.015856027603149414,ballplayer,0.8794256448745728,RegNet Y 16GF,cuda
35,0.7714285714285715,0.017854928970336914,half track,0.8661184906959534,RegNet Y 16GF,cuda
36,0.7777777777777778,0.015863418579101562,vestment,0.9327771663665771,RegNet Y 16GF,cuda
37,0.7567567567567568,0.015357494354248047,common newt,0.6429606080055237,RegNet Y 16GF,cuda
38,0.7631578947368421,0.015686511993408203,abacus,0.873249888420105,RegNet Y 16GF,cuda
39,0.7692307692307693,0.016515254974365234,scabbard,0.5701917409896851,RegNet Y 16GF,cuda
40,0.775,0.016149520874023438,garden spider,0.6403171420097351,RegNet Y 16GF,cuda
41,0.7560975609756098,0.015580415725708008,bassinet,0.913305938243866,RegNet Y 16GF,cuda
42,0.7619047619047619,0.015862226486206055,rain barrel,0.7412110567092896,RegNet Y 16GF,cuda
43,0.7674418604651163,0.015677928924560547,spoonbill,0.8678454756736755,RegNet Y 16GF,cuda
44,0.7727272727272727,0.016532421112060547,standard schnauzer,0.784698486328125,RegNet Y 16GF,cuda
45,0.7777777777777778,0.016351699829101562,Newfoundland,0.8377712965011597,RegNet Y 16GF,cuda
46,0.7608695652173914,0.016106128692626953,coffeepot,0.1550121158361435,RegNet Y 16GF,cuda
47,0.7659574468085106,0.015900373458862305,freight car,0.8719694018363953,RegNet Y 16GF,cuda
48,0.75,0.01652073860168457,Walker hound,0.36198660731315613,RegNet Y 16GF,cuda
49,0.7551020408163265,0.01699542999267578,pickup,0.7973384261131287,RegNet Y 16GF,cuda
50,0.74,0.017604351043701172,butcher shop,0.19693219661712646,RegNet Y 16GF,cuda
51,0.7450980392156863,0.018177032470703125,bee eater,0.864887535572052,RegNet Y 16GF,cuda
52,0.75,0.018781661987304688,axolotl,0.8732579946517944,RegNet Y 16GF,cuda
53,0.7547169811320755,0.016257762908935547,switch,0.8013409972190857,RegNet Y 16GF,cuda
54,0.7592592592592593,0.016269922256469727,handkerchief,0.8799177408218384,RegNet Y 16GF,cuda
55,0.7636363636363637,0.016785860061645508,polecat,0.725898027420044,RegNet Y 16GF,cuda
56,0.7678571428571429,0.01563549041748047,cab,0.819020688533783,RegNet Y 16GF,cuda
57,0.7543859649122807,0.015819072723388672,Pekinese,0.31498003005981445,RegNet Y 16GF,cuda
58,0.7586206896551724,0.015544891357421875,stinkhorn,0.8005377650260925,RegNet Y 16GF,cuda
59,0.7627118644067796,0.01579761505126953,tripod,0.769590437412262,RegNet Y 16GF,cuda
60,0.7666666666666667,0.0163116455078125,hamper,0.6932368278503418,RegNet Y 16GF,cuda
61,0.7540983606557377,0.01665186882019043,poncho,0.8458158373832703,RegNet Y 16GF,cuda
62,0.7419354838709677,0.015362262725830078,curly-coated retriever,0.7940541505813599,RegNet Y 16GF,cuda
63,0.746031746031746,0.015553474426269531,jellyfish,0.8739597201347351,RegNet Y 16GF,cuda
64,0.75,0.015981674194335938,green lizard,0.3456006348133087,RegNet Y 16GF,cuda
65,0.7538461538461538,0.016014575958251953,swimming trunks,0.6216153502464294,RegNet Y 16GF,cuda
66,0.7575757575757576,0.016617298126220703,eel,0.7995976209640503,RegNet Y 16GF,cuda
67,0.7611940298507462,0.015547513961791992,tusker,0.9096364378929138,RegNet Y 16GF,cuda
68,0.7647058823529411,0.01620793342590332,vestment,0.8065085411071777,RegNet Y 16GF,cuda
69,0.7681159420289855,0.016447067260742188,tricycle,0.8856239318847656,RegNet Y 16GF,cuda
70,0.7571428571428571,0.01631760597229004,wig,0.25286218523979187,RegNet Y 16GF,cuda
71,0.7605633802816901,0.016163349151611328,butcher shop,0.9924046397209167,RegNet Y 16GF,cuda
72,0.7638888888888888,0.015915393829345703,dugong,0.8279623985290527,RegNet Y 16GF,cuda
73,0.7671232876712328,0.016457557678222656,kite,0.8840020895004272,RegNet Y 16GF,cuda
74,0.7702702702702703,0.023119211196899414,carousel,0.8667954206466675,RegNet Y 16GF,cuda
75,0.7733333333333333,0.023978233337402344,black grouse,0.8683111071586609,RegNet Y 16GF,cuda
76,0.7763157894736842,0.024590730667114258,barbershop,0.8954124450683594,RegNet Y 16GF,cuda
77,0.7792207792207793,0.015837430953979492,Rhodesian ridgeback,0.9085561633110046,RegNet Y 16GF,cuda
78,0.782051282051282,0.01066446304321289,African hunting dog,0.7539423704147339,RegNet Y 16GF,cuda
79,0.7848101265822784,0.011197328567504883,otterhound,0.957865834236145,RegNet Y 16GF,cuda
80,0.7875,0.014424324035644531,breastplate,0.924433171749115,RegNet Y 16GF,cuda
81,0.7901234567901234,0.020684480667114258,alp,0.9636573195457458,RegNet Y 16GF,cuda
82,0.7926829268292683,0.01717829704284668,Afghan hound,0.8823681473731995,RegNet Y 16GF,cuda
83,0.7951807228915663,0.01655101776123047,shoe shop,0.8235790729522705,RegNet Y 16GF,cuda
84,0.7976190476190477,0.016668081283569336,water snake,0.7139102220535278,RegNet Y 16GF,cuda
