index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.14772510528564453,sea snake,0.35377272963523865,ResNet50,cuda
2,0.5,0.007350444793701172,ski,0.4095115065574646,ResNet50,cuda
3,0.6666666666666666,0.006119489669799805,Shetland sheepdog,0.3656635582447052,ResNet50,cuda
4,0.75,0.00558018684387207,soup bowl,0.40457090735435486,ResNet50,cuda
5,0.8,0.006262779235839844,cradle,0.16137918829917908,ResNet50,cuda
6,0.6666666666666666,0.005520343780517578,king snake,0.07751317322254181,ResNet50,cuda
7,0.7142857142857143,0.005907535552978516,porcupine,0.3462434709072113,ResNet50,cuda
8,0.75,0.005253314971923828,bakery,0.12393457442522049,ResNet50,cuda
9,0.7777777777777778,0.005343198776245117,mousetrap,0.542510986328125,ResNet50,cuda
10,0.8,0.005266904830932617,Angora,0.2585664391517639,ResNet50,cuda
11,0.8181818181818182,0.005036115646362305,brain coral,0.388943612575531,ResNet50,cuda
12,0.8333333333333334,0.004248380661010742,cougar,0.5680508613586426,ResNet50,cuda
13,0.8461538461538461,0.004911184310913086,guenon,0.46355026960372925,ResNet50,cuda
14,0.8571428571428571,0.0043985843658447266,recreational vehicle,0.2350754737854004,ResNet50,cuda
15,0.8666666666666667,0.005082130432128906,harvester,0.3019670248031616,ResNet50,cuda
16,0.875,0.004725456237792969,grey whale,0.6100308895111084,ResNet50,cuda
17,0.8823529411764706,0.004758358001708984,sea anemone,0.23512470722198486,ResNet50,cuda
18,0.8888888888888888,0.004438638687133789,vulture,0.3652932047843933,ResNet50,cuda
19,0.8947368421052632,0.005197763442993164,carton,0.47406598925590515,ResNet50,cuda
20,0.9,0.004283905029296875,crane,0.6910402178764343,ResNet50,cuda
21,0.9047619047619048,0.00429224967956543,porcupine,0.6561180949211121,ResNet50,cuda
22,0.8636363636363636,0.0043146610260009766,Labrador retriever,0.0478820726275444,ResNet50,cuda
23,0.8695652173913043,0.004942655563354492,Granny Smith,0.4608958065509796,ResNet50,cuda
24,0.875,0.005378007888793945,planetarium,0.3536222577095032,ResNet50,cuda
25,0.88,0.0047495365142822266,vulture,0.32984888553619385,ResNet50,cuda
26,0.8846153846153846,0.0049822330474853516,table lamp,0.42594000697135925,ResNet50,cuda
27,0.8888888888888888,0.004273891448974609,white wolf,0.562204122543335,ResNet50,cuda
28,0.8571428571428571,0.005174398422241211,Walker hound,0.1941658854484558,ResNet50,cuda
29,0.8620689655172413,0.0048406124114990234,green snake,0.3260515630245209,ResNet50,cuda
30,0.8666666666666667,0.004316091537475586,tile roof,0.20779980719089508,ResNet50,cuda
31,0.8709677419354839,0.004523754119873047,cabbage butterfly,0.42134296894073486,ResNet50,cuda
32,0.875,0.004202365875244141,go-kart,0.5612677335739136,ResNet50,cuda
33,0.8787878787878788,0.004958391189575195,sea lion,0.23131124675273895,ResNet50,cuda
34,0.8823529411764706,0.00464320182800293,ballplayer,0.6350590586662292,ResNet50,cuda
35,0.8857142857142857,0.0061109066009521484,half track,0.48687076568603516,ResNet50,cuda
36,0.8888888888888888,0.005849599838256836,vestment,0.5394892692565918,ResNet50,cuda
37,0.8648648648648649,0.006103992462158203,common newt,0.32007819414138794,ResNet50,cuda
38,0.868421052631579,0.00590825080871582,abacus,0.49087563157081604,ResNet50,cuda
39,0.8717948717948718,0.00626063346862793,scabbard,0.3142867982387543,ResNet50,cuda
40,0.875,0.005049228668212891,garden spider,0.8288077712059021,ResNet50,cuda
41,0.8536585365853658,0.004319429397583008,bassinet,0.3278312087059021,ResNet50,cuda
42,0.8571428571428571,0.004317283630371094,rain barrel,0.565017819404602,ResNet50,cuda
43,0.8604651162790697,0.004242897033691406,spoonbill,0.4903712272644043,ResNet50,cuda
44,0.8636363636363636,0.00424957275390625,standard schnauzer,0.5129720568656921,ResNet50,cuda
45,0.8666666666666667,0.0044155120849609375,Newfoundland,0.5596209168434143,ResNet50,cuda
46,0.8478260869565217,0.004705667495727539,coffeepot,0.09892383962869644,ResNet50,cuda
47,0.851063829787234,0.004873037338256836,freight car,0.7944127917289734,ResNet50,cuda
48,0.8333333333333334,0.005242824554443359,Walker hound,0.11604338139295578,ResNet50,cuda
49,0.8367346938775511,0.006122589111328125,pickup,0.49689728021621704,ResNet50,cuda
50,0.82,0.005533695220947266,butcher shop,0.15141406655311584,ResNet50,cuda
51,0.8235294117647058,0.005671977996826172,bee eater,0.6552703976631165,ResNet50,cuda
52,0.8269230769230769,0.004879474639892578,axolotl,0.3764554262161255,ResNet50,cuda
53,0.8301886792452831,0.004973649978637695,switch,0.40741366147994995,ResNet50,cuda
54,0.8333333333333334,0.004273414611816406,handkerchief,0.5310350060462952,ResNet50,cuda
55,0.8181818181818182,0.00469660758972168,black-footed ferret,0.27938246726989746,ResNet50,cuda
56,0.8214285714285714,0.0046842098236083984,cab,0.4331929087638855,ResNet50,cuda
57,0.8070175438596491,0.005308389663696289,Pekinese,0.15746930241584778,ResNet50,cuda
58,0.8103448275862069,0.00423431396484375,stinkhorn,0.546369194984436,ResNet50,cuda
59,0.8135593220338984,0.004281044006347656,tripod,0.19249679148197174,ResNet50,cuda
60,0.8166666666666667,0.004771232604980469,hamper,0.6285194754600525,ResNet50,cuda
61,0.8032786885245902,0.004892826080322266,poncho,0.2785632312297821,ResNet50,cuda
62,0.7903225806451613,0.004217863082885742,curly-coated retriever,0.278696745634079,ResNet50,cuda
63,0.7936507936507936,0.0044095516204833984,jellyfish,0.201328843832016,ResNet50,cuda
64,0.796875,0.004716396331787109,green lizard,0.24055491387844086,ResNet50,cuda
65,0.8,0.005042552947998047,swimming trunks,0.36879873275756836,ResNet50,cuda
66,0.803030303030303,0.00483250617980957,eel,0.42565202713012695,ResNet50,cuda
67,0.8059701492537313,0.004401445388793945,tusker,0.5355736017227173,ResNet50,cuda
68,0.8088235294117647,0.004221439361572266,vestment,0.20754139125347137,ResNet50,cuda
69,0.8115942028985508,0.004216432571411133,tricycle,0.19922232627868652,ResNet50,cuda
70,0.8,0.004312038421630859,cardigan,0.0801616683602333,ResNet50,cuda
71,0.8028169014084507,0.005081892013549805,butcher shop,0.11831983923912048,ResNet50,cuda
72,0.8055555555555556,0.0049381256103515625,dugong,0.42708921432495117,ResNet50,cuda
73,0.8082191780821918,0.004500389099121094,kite,0.6558471322059631,ResNet50,cuda
74,0.8108108108108109,0.0053327083587646484,carousel,0.6589298844337463,ResNet50,cuda
75,0.8133333333333334,0.00451207160949707,black grouse,0.420819491147995,ResNet50,cuda
76,0.8157894736842105,0.004870176315307617,barbershop,0.5852808356285095,ResNet50,cuda
77,0.8181818181818182,0.005076885223388672,Rhodesian ridgeback,0.5118314623832703,ResNet50,cuda
78,0.8205128205128205,0.00536036491394043,African hunting dog,0.5088868737220764,ResNet50,cuda
79,0.8227848101265823,0.012605428695678711,otterhound,0.5934205055236816,ResNet50,cuda
80,0.825,0.010227441787719727,breastplate,0.2718617022037506,ResNet50,cuda
81,0.8271604938271605,0.010375022888183594,alp,0.7456371188163757,ResNet50,cuda
82,0.8292682926829268,0.009659051895141602,Afghan hound,0.3997234106063843,ResNet50,cuda
83,0.8313253012048193,0.009634256362915039,shoe shop,0.3901561200618744,ResNet50,cuda
84,0.8333333333333334,0.010397195816040039,water snake,0.2004932314157486,ResNet50,cuda
85,0.8235294117647058,0.01047205924987793,beach wagon,0.11680394411087036,ResNet50,cuda
86,0.8255813953488372,0.009679317474365234,cinema,0.215565025806427,ResNet50,cuda
87,0.8160919540229885,0.00920867919921875,howler monkey,0.1079067662358284,ResNet50,cuda
88,0.8181818181818182,0.010596036911010742,spotted salamander,0.30225250124931335,ResNet50,cuda
89,0.8202247191011236,0.009781837463378906,cellular telephone,0.5480501055717468,ResNet50,cuda
90,0.8222222222222222,0.010035276412963867,American alligator,0.5687277317047119,ResNet50,cuda
91,0.8241758241758241,0.010024070739746094,white wolf,0.44091522693634033,ResNet50,cuda
92,0.8152173913043478,0.010841846466064453,indri,0.22675316035747528,ResNet50,cuda
93,0.8172043010752689,0.00945901870727539,gorilla,0.5416929125785828,ResNet50,cuda
94,0.8085106382978723,0.009809494018554688,catamaran,0.22571687400341034,ResNet50,cuda
95,0.8105263157894737,0.009523391723632812,macaque,0.37420418858528137,ResNet50,cuda
96,0.8125,0.009994745254516602,passenger car,0.3750442564487457,ResNet50,cuda
97,0.8144329896907216,0.009813308715820312,wood rabbit,0.35537880659103394,ResNet50,cuda
98,0.8163265306122449,0.010361194610595703,dowitcher,0.5000078082084656,ResNet50,cuda
99,0.8181818181818182,0.010405778884887695,strawberry,0.8131936192512512,ResNet50,cuda
100,0.82,0.009952783584594727,bighorn,0.4963350296020508,ResNet50,cuda
101,0.8217821782178217,0.010871648788452148,can opener,0.8667736649513245,ResNet50,cuda
102,0.8235294117647058,0.009723663330078125,Rhodesian ridgeback,0.12103325873613358,ResNet50,cuda
103,0.8252427184466019,0.010294675827026367,tripod,0.4107600450515747,ResNet50,cuda
104,0.8269230769230769,0.010054349899291992,typewriter keyboard,0.33336305618286133,ResNet50,cuda
105,0.8285714285714286,0.00956106185913086,silky terrier,0.5277307629585266,ResNet50,cuda
106,0.8301886792452831,0.010848283767700195,Windsor tie,0.19993974268436432,ResNet50,cuda
107,0.8317757009345794,0.009873390197753906,harvestman,0.4738490879535675,ResNet50,cuda
108,0.8240740740740741,0.010090112686157227,violin,0.275333970785141,ResNet50,cuda
109,0.8256880733944955,0.010264873504638672,loudspeaker,0.37610650062561035,ResNet50,cuda
110,0.8181818181818182,0.00975656509399414,apron,0.0863722637295723,ResNet50,cuda
111,0.8198198198198198,0.01000213623046875,American lobster,0.4712960720062256,ResNet50,cuda
112,0.8214285714285714,0.010107278823852539,pill bottle,0.12770289182662964,ResNet50,cuda
113,0.8230088495575221,0.009171724319458008,kelpie,0.4623851478099823,ResNet50,cuda
114,0.8245614035087719,0.009934425354003906,oil filter,0.05452318862080574,ResNet50,cuda
115,0.8260869565217391,0.010390281677246094,Ibizan hound,0.32101547718048096,ResNet50,cuda
116,0.8275862068965517,0.009997367858886719,carbonara,0.5548301935195923,ResNet50,cuda
117,0.8290598290598291,0.010091066360473633,maillot,0.33151599764823914,ResNet50,cuda
118,0.8220338983050848,0.010261058807373047,coil,0.18424943089485168,ResNet50,cuda
