index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.08078980445861816,sea snake,0.48096975684165955,VGG 16,cpu
2,0.5,0.07684159278869629,ski,0.7257180213928223,VGG 16,cpu
3,0.6666666666666666,0.07921051979064941,Shetland sheepdog,0.6285097002983093,VGG 16,cpu
4,0.75,0.07809615135192871,soup bowl,0.4444686472415924,VGG 16,cpu
5,0.6,0.07833480834960938,bassinet,0.44106730818748474,VGG 16,cpu
6,0.5,0.07909750938415527,sea snake,0.3223016560077667,VGG 16,cpu
7,0.5714285714285714,0.07908153533935547,porcupine,0.9996329545974731,VGG 16,cpu
8,0.5,0.07882976531982422,bath towel,0.3861597776412964,VGG 16,cpu
9,0.5555555555555556,0.07727169990539551,mousetrap,0.9956851005554199,VGG 16,cpu
10,0.5,0.07796239852905273,Maltese dog,0.8105706572532654,VGG 16,cpu
11,0.5454545454545454,0.07802486419677734,brain coral,0.9997962117195129,VGG 16,cpu
12,0.5833333333333334,0.07801222801208496,cougar,0.9999924898147583,VGG 16,cpu
13,0.6153846153846154,0.0786125659942627,guenon,0.9980280995368958,VGG 16,cpu
14,0.6428571428571429,0.0793147087097168,recreational vehicle,0.9967923760414124,VGG 16,cpu
15,0.6666666666666666,0.08245015144348145,harvester,0.916167140007019,VGG 16,cpu
16,0.6875,0.08091545104980469,grey whale,0.9999759197235107,VGG 16,cpu
17,0.6470588235294118,0.08324909210205078,starfish,0.7232005596160889,VGG 16,cpu
18,0.6111111111111112,0.0844736099243164,kite,0.7579067945480347,VGG 16,cpu
19,0.631578947368421,0.08494877815246582,carton,0.9663211703300476,VGG 16,cpu
20,0.65,0.08452892303466797,crane,0.9118826985359192,VGG 16,cpu
21,0.6666666666666666,0.08458495140075684,porcupine,0.7461269497871399,VGG 16,cpu
22,0.6363636363636364,0.08368682861328125,American Staffordshire terrier,0.19654351472854614,VGG 16,cpu
23,0.6521739130434783,0.08380436897277832,Granny Smith,0.9996132254600525,VGG 16,cpu
24,0.6666666666666666,0.08360576629638672,planetarium,0.9992926120758057,VGG 16,cpu
25,0.68,0.08515334129333496,vulture,0.998910665512085,VGG 16,cpu
26,0.6538461538461539,0.08460307121276855,guillotine,0.6159600615501404,VGG 16,cpu
27,0.6666666666666666,0.0835421085357666,white wolf,0.9627717137336731,VGG 16,cpu
28,0.6428571428571429,0.08335685729980469,Walker hound,0.47176551818847656,VGG 16,cpu
29,0.6206896551724138,0.08394265174865723,green mamba,0.4362011253833771,VGG 16,cpu
30,0.6333333333333333,0.08445596694946289,tile roof,0.18325814604759216,VGG 16,cpu
31,0.6451612903225806,0.08469653129577637,cabbage butterfly,0.9992122650146484,VGG 16,cpu
32,0.65625,0.08556413650512695,go-kart,0.8687025308609009,VGG 16,cpu
33,0.6363636363636364,0.08453059196472168,otter,0.6926031112670898,VGG 16,cpu
34,0.6470588235294118,0.08406639099121094,ballplayer,0.5848102569580078,VGG 16,cpu
35,0.6571428571428571,0.08617520332336426,half track,0.6026055812835693,VGG 16,cpu
36,0.6666666666666666,0.08429241180419922,vestment,0.9994426369667053,VGG 16,cpu
