name,params,gflops,year,size,weights,accuracy,inference
ResNet50,25557032,4.09,2015,97800000,ResNet50_Weights.IMAGENET1K_V2,0.8092,0.034124525570869445
RegNet Y 16GF,83590140,15.91,2020,319500000,RegNet_Y_16GF_Weights.IMAGENET1K_V2,0.8308,0.12273378994464874
MobileNet V3 Large Weights,5483032,0.22,2019,21100000,MobileNet_V3_Large_Weights.IMAGENET1K_V2,0.7548,0.014548863935470582
ViT L 16,304326632,61.55,2021,1161000000,ViT_L_16_Weights.IMAGENET1K_V1,0.8017,0.5311284024238586
ConvNeXt Tiny Weights,28589128,4.46,2022,109100000,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,0.8237,0.037287274956703184
VGG 16,138357544,15.47,2014,527800000,VGG16_Weights.IMAGENET1K_V1,0.7209,0.08433687925338745
Swin S,49606258,8.74,2021,189800000,Swin_S_Weights.IMAGENET1K_V1,0.8336,0.132999178481102
GoogLe Net,6624904,1.5,2014,49700000,GoogLeNet_Weights.IMAGENET1K_V1,0.7023,0.02800933322906494
Efficient Net B3,12233232,1.83,2019,47200000,EfficientNet_B3_Weights.IMAGENET1K_V1,0.8208,0.06165144898891449
Wide ResNet 101,126886696,22.75,2016,242900000,Wide_ResNet101_2_Weights.IMAGENET1K_V2,0.8263,0.1472840980529785
